name,WKT
"Point 1","POINT Z (35.2483907 32.9040495 0)"
"Point 2","POINT Z (35.2408376 32.9017434 0)"
"Point 3","POINT Z (35.2483907 32.9040495 0)"
"Point 4","POINT Z (35.2483907 32.9040495 0)"
"Point 6","POINT Z (35.2483907 32.9040495 0)"
"Point 8","POINT Z (35.2435842 32.9178843 0)"
"Point 9","POINT Z (35.2483907 32.9000139 0)"
"Point 11","POINT Z (35.2408376 32.8971312 0)"
"Point 12","POINT Z (35.2435842 32.8821399 0)"
"Point 13","POINT Z (35.2415243 32.8775267 0)"
"Point 14","POINT Z (35.2435842 32.8648391 0)"
"Point 15","POINT Z (35.2387777 32.8625321 0)"
"Point 16","POINT Z (35.2387777 32.8625321 0)"
"Point 17","POINT Z (35.2387777 32.8573411 0)"
"Point 18","POINT Z (35.2415243 32.8521497 0)"
"Point 19","POINT Z (35.2367177 32.8481118 0)"
"Point 20","POINT Z (35.2422109 32.8469581 0)"
"Point 21","POINT Z (35.2339712 32.8406123 0)"
"Point 22","POINT Z (35.2339712 32.8406123 0)"
"Point 23","POINT Z (35.2422109 32.83542 0)"
"Point 24","POINT Z (35.2305379 32.8359969 0)"
"Point 25","POINT Z (35.2422109 32.83542 0)"
"Point 26","POINT Z (35.2346578 32.8308044 0)"
"Point 27","POINT Z (35.2243581 32.8302274 0)"
"Point 28","POINT Z (35.2346578 32.8308044 0)"
"Point 29","POINT Z (35.2422109 32.83542 0)"
"Point 30","POINT Z (35.216805 32.8486887 0)"
"Point 31","POINT Z (35.2229848 32.8515729 0)"
"Point 32","POINT Z (35.2133718 32.8446506 0)"
"Point 33","POINT Z (35.2518239 32.8515729 0)"
"Point 34","POINT Z (35.2346578 32.8308044 0)"
"Point 35","POINT Z (35.2566305 32.9334458 0)"
"Point 36","POINT Z (35.2492739 32.9349416 0)"
"Point 37","POINT Z (35.2492739 32.9513645 0)"
"Point 38","POINT Z (35.255797 32.9631755 0)"
"Point 39","POINT Z (35.2506472 32.9787291 0)"
"Point 40","POINT Z (35.2588869 32.9919763 0)"
"Point 41","POINT Z (35.2506472 33.0060852 0)"
"Point 42","POINT Z (35.2602602 33.0173132 0)"
"Point 43","POINT Z (35.2537371 33.0302668 0)"
"Point 44","POINT Z (35.2506472 33.0285397 0)"
"Point 45","POINT Z (35.2619768 33.0319938 0)"
"Point 46","POINT Z (35.2547671 33.0236463 0)"
"Point 47","POINT Z (35.2475573 33.0224949 0)"
"Point 48","POINT Z (35.2520205 33.0196162 0)"
"Point 49","POINT Z (35.2654101 33.0294033 0)"
"Point 50","POINT Z (35.2705599 33.022207 0)"
"Point 51","POINT Z (35.2678133 33.017889 0)"
"Point 52","POINT Z (35.2575136 33.0432184 0)"
"Point 53","POINT Z (35.2616335 33.0285397 0)"
"Point 54","POINT Z (35.2722765 33.034872 0)"
