name,WKT
"Point 1","POINT Z (35.1219451 32.8659524 0)"
"Point 2","POINT Z (35.1349914 32.8844063 0)"
"Point 3","POINT Z (35.1500976 32.9091976 0)"
"Point 4","POINT Z (35.1679504 32.9305241 0)"
"Point 5","POINT Z (35.1906097 32.9483883 0)"
"Point 6","POINT Z (35.2173889 32.9483883 0)"
"Point 7","POINT Z (35.2455413 32.940321 0)"
"Point 8","POINT Z (35.2668273 32.9311004 0)"
"Point 9","POINT Z (35.2860534 32.9224552 0)"
"Point 10","POINT Z (35.2997863 32.9074682 0)"
"Point 11","POINT Z (35.3080261 32.8982441 0)"
"Point 12","POINT Z (35.3162658 32.8895957 0)"
"Point 13","POINT Z (35.3238189 32.8786398 0)"
"Point 18","POINT Z (35.2098358 32.8844063 0)"
"Point 19","POINT Z (35.2118957 32.8694128 0)"
"Point 20","POINT Z (35.2118957 32.8578776 0)"
"Point 21","POINT Z (35.2194488 32.8440335 0)"
"Point 22","POINT Z (35.2359283 32.8301872 0)"
"Point 23","POINT Z (35.2551544 32.8255712 0)"
"Point 24","POINT Z (35.2716339 32.8209551 0)"
"Point 25","POINT Z (35.2963531 32.8134533 0)"
"Point 26","POINT Z (35.3203857 32.8088365 0)"
"Point 27","POINT Z (35.3574646 32.8146075 0)"
"Point 28","POINT Z (35.3375518 32.8186469 0)"
"Point 29","POINT Z (35.3890502 32.8371106 0)"
"Point 30","POINT Z (35.3753173 32.832495 0)"
"Point 31","POINT Z (35.4158294 32.8532632 0)"
"Point 32","POINT Z (35.408963 32.8434566 0)"
"Point 33","POINT Z (35.4220092 32.8774865 0)"
"Point 34","POINT Z (35.4240692 32.9040093 0)"
"Point 36","POINT Z (35.4247558 32.8965145 0)"
