name,WKT
"Point 1","POINT Z (34.9715994 32.8092358 0)"
"Point 2","POINT Z (34.983959 32.812987 0)"
"Point 3","POINT Z (34.9729727 32.7979814 0)"
"Point 4","POINT Z (34.983959 32.7930752 0)"
"Point 5","POINT Z (35.0049017 32.7907663 0)"
"Point 6","POINT Z (34.9976919 32.8051959 0)"
"Point 7","POINT Z (34.9887655 32.8101015 0)"
"Point 8","POINT Z (34.9925421 32.7855711 0)"
"Point 9","POINT Z (35.0107382 32.7884574 0)"
"Point 10","POINT Z (35.0021551 32.7847052 0)"
"Point 11","POINT Z (35.0038717 32.776623 0)"
"Point 12","POINT Z (35.0145147 32.7806642 0)"
"Point 13","POINT Z (35.0114248 32.774025 0)"
"Point 14","POINT Z (35.0000952 32.772293 0)"
"Point 15","POINT Z (34.9970053 32.7676741 0)"
"Point 16","POINT Z (35.0007818 32.7468859 0)"
"Point 17","POINT Z (34.9729727 32.7330245 0)"
"Point 18","POINT Z (34.9540899 32.7295588 0)"
"Point 19","POINT Z (34.9928854 32.7356237 0)"
