name,WKT
"Point 1","POINT Z (35.0811415 32.841645 0)"
"Point 2","POINT Z (35.0830298 32.8389047 0)"
"Point 3","POINT Z (35.0811415 32.841645 0)"
"Point 4","POINT Z (35.0811415 32.841645 0)"
"Point 5","POINT Z (35.0767116 32.8387605 0)"
"Point 6","POINT Z (35.0813465 32.8404912 0)"
"Point 7","POINT Z (35.0863247 32.8410681 0)"
"Point 8","POINT Z (35.0773983 32.8432315 0)"
"Point 9","POINT Z (35.0835781 32.8466928 0)"
"Point 10","POINT Z (35.0806598 32.848856 0)"
"Point 11","POINT Z (35.0806598 32.8472697 0)"
"Point 12","POINT Z (35.0827198 32.8449261 0)"
"Point 13","POINT Z (35.0813036 32.8440608 0)"
"Point 14","POINT Z (35.0839214 32.8442411 0)"
"Point 15","POINT Z (35.0834064 32.8421498 0)"
"Point 16","POINT Z (35.0836639 32.8438805 0)"
"Point 17","POINT Z (35.0820331 32.8436642 0)"
"Point 18","POINT Z (35.0789422 32.8435378 0)"
"Point 19","POINT Z (35.0795859 32.842384 0)"
"Point 20","POINT Z (35.0793284 32.8417711 0)"
"Point 21","POINT Z (35.0785988 32.841086 0)"
"Point 22","POINT Z (35.0778693 32.8406173 0)"
"Point 23","POINT Z (35.0802296 32.8445113 0)"
"Point 24","POINT Z (35.0802725 32.8440787 0)"
"Point 25","POINT Z (35.0799292 32.8454848 0)"
"Point 26","POINT Z (35.0788992 32.8456651 0)"
"Point 27","POINT Z (35.077998 32.8459175 0)"
"Point 28","POINT Z (35.0791138 32.8490181 0)"
"Point 29","POINT Z (35.08259 32.8489821 0)"
"Point 30","POINT Z (35.0824183 32.8484413 0)"
"Point 31","POINT Z (35.1161045 32.847904 0)"
"Point 32","POINT Z (35.1155896 32.8468945 0)"
"Point 33","POINT Z (35.1166195 32.8468945 0)"
"Point 34","POINT Z (35.1162747 32.847061 0)"
"Point 35","POINT Z (35.1159582 32.8473043 0)"
"Point 36","POINT Z (35.1159743 32.8471556 0)"
"Point 37","POINT Z (35.116044 32.8468672 0)"
"Point 38","POINT Z (35.1159528 32.8464931 0)"
"Point 39","POINT Z (35.1162264 32.8476694 0)"
"Point 40","POINT Z (35.1158134 32.8472007 0)"
"Point 41","POINT Z (35.1164624 32.8473945 0)"
"Point 42","POINT Z (35.1162693 32.847408 0)"
"Point 43","POINT Z (35.1158885 32.8476829 0)"
"Point 44","POINT Z (35.1156095 32.8476108 0)"
"Point 45","POINT Z (35.115293 32.8475612 0)"
"Point 46","POINT Z (35.1151052 32.8473359 0)"
"Point 47","POINT Z (35.1149229 32.8466509 0)"
"Point 48","POINT Z (35.1142039 32.8474171 0)"
"Point 49","POINT Z (35.1134528 32.8474892 0)"
"Point 50","POINT Z (35.1126804 32.8475252 0)"
"Point 51","POINT Z (35.1111354 32.8475072 0)"
"Point 52","POINT Z (35.1098265 32.8473449 0)"
"Point 53","POINT Z (35.1083245 32.8468222 0)"
"Point 54","POINT Z (35.1070799 32.8466779 0)"
"Point 55","POINT Z (35.1062216 32.8461191 0)"
"Point 56","POINT Z (35.1026382 32.8458307 0)"
"Point 57","POINT Z (35.1044192 32.846696 0)"
"Point 58","POINT Z (35.1014151 32.8456684 0)"
"Point 59","POINT Z (35.0997843 32.8456684 0)"
"Point 60","POINT Z (35.0974454 32.8456143 0)"
"Point 61","POINT Z (35.094892 32.8451997 0)"
"Point 62","POINT Z (35.0929179 32.8459569 0)"
"Point 63","POINT Z (35.0909437 32.8469844 0)"
"Point 64","POINT Z (35.0889053 32.8468041 0)"
"Point 65","POINT Z (35.0869741 32.8467861 0)"
"Point 66","POINT Z (35.0846567 32.8469123 0)"
"Point 67","POINT Z (35.103326 32.8464075 0)"
"Point 68","POINT Z (35.1155139 32.8459929 0)"
"Point 69","POINT Z (35.115235 32.8446228 0)"
"Point 70","POINT Z (35.1131751 32.8494901 0)"
"Point 71","POINT Z (35.1148917 32.8485888 0)"
"Point 72","POINT Z (35.1141514 32.8491476 0)"
"Point 73","POINT Z (35.1126812 32.846505 0)"
"Point 74","POINT Z (35.09912 32.8488845 0)"
"Point 75","POINT Z (35.0992916 32.8446301 0)"
"Point 76","POINT Z (35.0998925 32.8422505 0)"
"Point 77","POINT Z (35.0989483 32.8385727 0)"
"Point 78","POINT Z (35.0983475 32.8348226 0)"
"Point 79","POINT Z (35.1002358 32.8320099 0)"
"Point 80","POINT Z (35.1044415 32.8317936 0)"
"Point 81","POINT Z (35.1024674 32.8306397 0)"
"Point 82","POINT Z (35.1024674 32.8336687 0)"
"Point 83","POINT Z (35.1010941 32.8346062 0)"
"Point 84","POINT Z (35.0997208 32.841313 0)"
"Point 85","POINT Z (35.0990342 32.8373467 0)"
"Point 86","POINT Z (35.1173161 32.850543 0)"
"Point 87","POINT Z (35.0985192 32.8333802 0)"
"Point 88","POINT Z (35.1047917 32.8340896 0)"
"Point 89","POINT Z (35.1011439 32.8368301 0)"
"Point 90","POINT Z (35.1033755 32.8360368 0)"
"Point 91","POINT Z (35.1013584 32.8336569 0)"
"Point 92","POINT Z (35.1013155 32.8318178 0)"
"Point 93","POINT Z (35.1030751 32.832503 0)"
"Point 94","POINT Z (35.1050492 32.8331881 0)"
"Point 95","POINT Z (35.1030751 32.8350632 0)"
"Point 96","POINT Z (35.1053496 32.8353877 0)"
"Point 97","POINT Z (35.1068516 32.8337651 0)"
"Point 98","POINT Z (35.106122 32.8327554 0)"
