name,WKT
"Point 1","POINT Z (35.0754868 32.9264653 0)"
"Point 2","POINT Z (35.0785767 32.9235835 0)"
"Point 3","POINT Z (35.08201 32.9333812 0)"
"Point 4","POINT Z (35.0830399 32.929347 0)"
"Point 5","POINT Z (35.0830399 32.929347 0)"
"Point 6","POINT Z (35.0758301 32.9371271 0)"
"Point 7","POINT Z (35.0895631 32.9351101 0)"
"Point 8","POINT Z (35.0929963 32.9339575 0)"
"Point 9","POINT Z (35.1019227 32.9388559 0)"
"Point 10","POINT Z (35.1111924 32.9382797 0)"
"Point 11","POINT Z (35.1214921 32.943466 0)"
"Point 12","POINT Z (35.1328217 32.9431778 0)"
"Point 13","POINT Z (35.1444947 32.951821 0)"
"Point 14","POINT Z (35.1664674 32.9526853 0)"
"Point 15","POINT Z (35.1774537 32.9647842 0)"
"Point 16","POINT Z (35.1551377 32.9495163 0)"
"Point 17","POINT Z (35.155481 32.9449066 0)"
"Point 18","POINT Z (35.1544511 32.9400085 0)"
"Point 19","POINT Z (35.155481 32.9365508 0)"
"Point 20","POINT Z (35.1633774 32.9307878 0)"
"Point 21","POINT Z (35.155481 32.9304997 0)"
"Point 22","POINT Z (35.1630341 32.9273298 0)"
"Point 23","POINT Z (35.1609742 32.9230072 0)"
"Point 24","POINT Z (35.1568543 32.9204134 0)"
"Point 25","POINT Z (35.1705872 32.9181079 0)"
"Point 26","POINT Z (35.166124 32.9186843 0)"
"Point 27","POINT Z (35.1637208 32.915514 0)"
"Point 28","POINT Z (35.1592576 32.9126319 0)"
"Point 29","POINT Z (35.1692139 32.915514 0)"
"Point 30","POINT Z (35.1664674 32.9129201 0)"
"Point 31","POINT Z (35.1781403 32.9613275 0)"
"Point 32","POINT Z (35.1911866 32.970833 0)"
"Point 33","POINT Z (35.2035462 32.9817775 0)"
"Point 34","POINT Z (35.2124726 32.9872492 0)"
"Point 35","POINT Z (35.2282654 32.9907049 0)"
"Point 36","POINT Z (35.221399 33.0019348 0)"
"Point 37","POINT Z (35.2275788 32.9852334 0)"
"Point 38","POINT Z (35.2200257 32.9884011 0)"
"Point 39","POINT Z (35.231012 33.0016469 0)"
"Point 40","POINT Z (35.2371918 32.9944483 0)"
"Point 41","POINT Z (35.2251755 32.9987675 0)"
"Point 42","POINT Z (35.1328217 32.9564304 0)"
"Point 43","POINT Z (35.1317918 32.9699689 0)"
"Point 44","POINT Z (35.1290452 32.9832175 0)"
"Point 45","POINT Z (35.1204621 32.9947363 0)"
"Point 46","POINT Z (35.1280152 33.0085569 0)"
"Point 47","POINT Z (35.1410615 33.0171937 0)"
"Point 48","POINT Z (35.1541077 33.0272688 0)"
"Point 49","POINT Z (35.1403748 33.0327377 0)"
"Point 50","POINT Z (35.146898 33.0289959 0)"
"Point 51","POINT Z (35.1513612 33.0232389 0)"
"Point 52","POINT Z (35.136255 33.0278445 0)"
"Point 53","POINT Z (35.1335084 33.0232389 0)"
